category,distance,duration,nearby_places,title,url,p_rating,count,itemId
Religious,39 Kms,1-2 Hours,None,Tirupati Church,/india/tirupati/force-popular,1.9,114,1610
Wildlife,4 Kms,2-3 Hours,None,Jim Corbett National Park,/india/jim corbett/allow-make-simply,3.7,957,8032
Adventure,46 Kms,1-2 Hours,None,Rishikesh Rafting Point,/india/rishikesh/these-early-piece,4.2,320,4068
Adventure,3 Kms,Half Day,None,Goa Rafting Point,/india/goa/goal-language-sell,2.7,418,4579
Wildlife,12 Kms,Half Day,None,Ranthambore National Park,/india/ranthambore/southern-simply-put,1.0,732,1450
Adventure,7 Kms,Full Day,None,Goa Trekking Trail,/india/goa/level-standard,3.4,210,3762
Heritage,48 Kms,2-3 Hours,None,Delhi Palace,/india/delhi/ball-whatever-part,4.8,655,3138
Heritage,39 Kms,2-3 Hours,None,Delhi Fort,/india/delhi/success-player,3.6,349,6417
Wildlife,25 Kms,1-2 Hours,None,Ranthambore National Park,/india/ranthambore/modern-minute,4.5,613,5424
Nature,9 Kms,2-3 Hours,None,Shillong Lake,/india/shillong/authority-interview,3.1,757,8803
Wildlife,42 Kms,Full Day,None,Sundarbans National Park,/india/sundarbans/treat-believe-give,3.8,429,3421
Wildlife,23 Kms,Half Day,None,Sundarbans National Park,/india/sundarbans/example-dark-mean,3.0,108,9841
Beach,25 Kms,Full Day,None,Chennai Resort,/india/chennai/be-director-thought,2.3,727,4228
Adventure,43 Kms,Full Day,None,Rishikesh Trekking Trail,/india/rishikesh/pm-clear-blue,4.0,562,9803
Nature,29 Kms,Half Day,None,Munnar Lake,/india/munnar/herself-and-course,3.6,349,7693
Nature,30 Kms,Half Day,None,Munnar Garden,/india/munnar/officer-dark-enjoy,3.1,527,2987
Religious,26 Kms,Full Day,None,Tirupati Temple,/india/tirupati/west-fight-forward,2.4,248,5545
Religious,46 Kms,Half Day,None,Amritsar Church,/india/amritsar/issue-alone-measure,3.0,84,1130
Beach,9 Kms,1-2 Hours,None,Puri Resort,/india/puri/hear-third-effort,4.3,216,8094
Heritage,21 Kms,2-3 Hours,None,Delhi Museum,/india/delhi/that-against-big,1.8,522,2969
Wildlife,24 Kms,2-3 Hours,None,Jim Corbett National Park,/india/jim corbett/particular-leader,3.2,839,4759
Nature,10 Kms,Full Day,None,Munnar Lake,/india/munnar/various-interview,4.0,274,2054
Wildlife,22 Kms,Half Day,None,Ranthambore National Park,/india/ranthambore/usually-position,4.1,107,1291
Beach,46 Kms,Half Day,None,Chennai Resort,/india/chennai/weight-subject,2.5,548,3765
